carroceria,color,combustible,fecha,marca,modelo,precio,odometro
Camioneta SUV,Rojo,Gasolina,2024,Chevrolet,Tracker,436900,7545
Hatchback (5 Puertas),Blanco,Híbrido,2021,Toyota,Prius,299900,88110
Camioneta SUV,Rojo,Gasolina,2021,Ford,Bronco,539900,33000
Sedán,Plata,Gasolina,2017,Volkswagen,Vento,187999,89000
Sedán,Gris,Gasolina,2021,Nissan,Sentra,309900,66530
Camioneta SUV,Rojo,Híbrido,2023,Nissan,X-Trail,609800,3977
Camioneta SUV,Plata,Gasolina,2022,Toyota,Highlander,690000,58030
Coupé,Blanco,Gasolina,2022,Mini,Cooper,466000,46202
Pickup,Blanco,Gasolina,2020,Chevrolet,Silverado,475000,65000
Camioneta SUV,Gris,Gasolina,2024,Volkswagen,Tiguan,599990,31
Camioneta SUV,Rojo,Gasolina,2022,Chevrolet,Captiva,319000,76445
Sedán,Gris,Gasolina,2024,Dodge,Attitude,295900,101
Hatchback (3 Puertas),Rojo,Gasolina,2016,Mini,Cooper Chilli,250000,67788
Camioneta SUV,Blanco,Gasolina,2021,Peugeot,2008,329000,56619
Camioneta SUV,Uva,Gasolina,2016,Toyota,RAV4,312500,75000
Hatchback (5 Puertas),Rojo,Híbrido,2018,Toyota,Prius,279000,133200
Sedán,Plata,Gasolina,2022,Toyota,Corolla,314000,68405
Pickup,Blanco,Gasolina,2019,Volkswagen,Saveiro,224900,54000
Camioneta SUV,Rojo,Gasolina,2020,Chevrolet,Trax,260000,109533
Camioneta SUV,Plata,Gasolina,2017,Chevrolet,Trax,218000,120000
Camioneta SUV,Azul,Híbrido,2021,Ford,Escape,445000,56767
Pickup,Blanco,Gasolina,2016,Chevrolet,Silverado 2500,343000,96000
Camioneta SUV,Negro,Gasolina,2020,BMW,X3,617000,74000
Camioneta SUV,Azul,Gasolina,2021,Nissan,Kicks,289000,70000
Sedán,Blanco,Gasolina,2017,Toyota,Yaris,229800,68000
Sedán,Rojo,Gasolina,2017,Nissan,Sentra,298000,83892
Sedán,Rojo,Gasolina,2018,Volkswagen,Jetta,244500,68000
Camioneta SUV,Gris,Gasolina,2017,Ford,Explorer,388000,73226
Sedán,Gris,Gasolina,2021,Volkswagen,Jetta,359000,20000
Sedán,Plata,Gasolina,2020,Hyundai,Grand i10,199750,32000
Van,Blanco,Gasolina,2020,Nissan,Urvan,570000,46814
Camioneta SUV,Blanco,Gasolina,2020,Suzuki,Vitara,290000,65649
Sedán,Negro,Gasolina,2020,Honda,City,290000,24986
Camioneta SUV,Blanco,Gasolina,2017,Chevrolet,Equinox,266000,88900
Hatchback (5 Puertas),Azul,Gasolina,2020,Chevrolet,Beat,199500,47000
Hatchback (5 Puertas),Blanco,Gasolina,2016,Hyundai,Grand i10,189800,92373
Camioneta SUV,Gris,Gasolina,2021,BMW,X1,487000,60189
Sedán,Blanco,Gasolina,2021,Toyota,Yaris,268000,43000
Camioneta SUV,Blanco,Gasolina,2019,Nissan,Kicks,269000,58000
Sedán,Plata,Gasolina,2021,Toyota,Yaris,253000,55283
Sedán,Plata,Gasolina,2020,Hyundai,Grand i10,205000,58000
Camioneta SUV,Gris,Gasolina,2021,Mazda,CX-9,575000,60988
Camioneta SUV,Blanco,Híbrido,2022,Volvo,XC40,670000,74000
Camioneta SUV,Gris,Gasolina,2019,Kia,Sportage,325000,77186
Hatchback (5 Puertas),Plata,Gasolina,2018,Suzuki,Swift,217000,79492
Van,Blanco,Gasolina,2020,Nissan,Urvan,560000,54430
Pickup,Blanco,Gasolina,2021,Nissan,Frontier,399000,46781
Camioneta SUV,Gris,Gasolina,2018,Ford,Ecosport,233000,68000
Camioneta SUV,Blanco,Gasolina,2017,Honda,CR-V,369000,92530
Camioneta SUV,Plata,Gasolina,2018,Toyota,C-HR,339900,76033
Camioneta SUV,Gris,Gasolina,2021,Mazda,CX-30,390000,40000
Sedán,Blanco,Diesel,2017,Volkswagen,Jetta,219900,77000
Camioneta SUV,Blanco,Gasolina,2015,Lincoln,Navigator,399000,77000
Van,Blanco,Gasolina,2019,Dodge,Ram ProMaster,389500,116000
Sedán,Blanco,Gasolina,2022,Volkswagen,Vento,240000,63100
Sedán,Blanco,Gasolina,2013,BMW,Serie 3,238000,131000
Pickup,Blanco,Gasolina,2021,Nissan,Frontier,398000,99908
Pickup,Blanco,Gasolina,2020,Chevrolet,Silverado,510000,28337
Camioneta SUV,Blanco,Gasolina,2023,Peugeot,2008,394000,19000
Camioneta SUV,Negro,Gasolina,2023,Dodge,Journey,495000,19756
Camioneta SUV,Negro,Gasolina,2021,Hyundai,Creta,339800,49830
Sedán,Azul,Gasolina,2017,Audi,A4,359000,60000
Camioneta SUV,Azul,Gasolina,2023,BMW,X4,1088000,19770
Sedán,Negro,Gasolina,2023,Audi,A3,558000,15500
Sedán,Blanco,Gasolina,2019,Dodge,Charger,399500,30200
Camioneta SUV,Rojo,Gasolina,2024,Mazda,CX-50,699000,5000
Camioneta SUV,Blanco,Gasolina,2021,BMW,X4,769000,50500
Hatchback (5 Puertas),Negro,Gasolina,2016,Mazda,3,215000,86736
Camioneta SUV,Gris,Gasolina,2021,Audi,Q3,618000,44092
Sedán,Blanco,Gasolina,2017,Chevrolet,Sonic,167500,68000
Camioneta SUV,Plata,Gasolina,2023,Volkswagen,T-CROSS Trendline,345000,17791
Camioneta SUV,Blanco,Gasolina,2019,Ford,Edge,399000,62000
Sedán,Blanco,Gasolina,2017,Ford,Escape,239000,137245
Sedán,Blanco,Gasolina,2019,BMW,220i,489000,44000
Pickup,Blanco,Gasolina,2019,Ford,Lobo Raptor,1049500,66510
Sedán,Blanco,Gasolina,2017,Buick,Enclave,395000,56179
Hatchback (3 Puertas),Blanco,Gasolina,2016,Mini,Cooper,359000,40000
Camioneta SUV,Plata,Gasolina,2017,Honda,HRV,285000,74000
Camioneta SUV,Blanco,Gasolina,2019,Renault,Stepway,198000,58000
Coupé,Rojo,Gasolina,2016,BMW,Serie 2,388000,26400
Camioneta SUV,Rojo,Gasolina,2024,Peugeot,2008,415000,30720
Sedán,Blanco,Gasolina,2021,Mazda,Mazda 3,398000,50000
Pickup,Blanco,Gasolina,2016,Ford,Lobo,619900,70000
Mini van (MPV),Gris,Gasolina,2017,Dodge,Grand Caravan,229000,91732.38
Crossover,Blanco,Gasolina,2023,Volkswagen,Nivus Highline,399000,13000
Sedán,Naranja,Gasolina,2023,Nissan,Versa,320000,57047
Camioneta SUV,Plata,Gasolina,2022,Honda,CR-V,520000,63373
Sedán,Azul,Gasolina,2022,Toyota,Corolla,275000,92000
Camioneta SUV,Blanco,Eléctrico,2021,Jeep,Wrangler,829000,35212
Sedán,Blanco,Gasolina,2019,Kia,Forte,269000,13000
Camioneta SUV,Negro,Gasolina,2021,Volkswagen,TERAMONT,725000,46374
Sedán,Gris,Gasolina,2018,Audi,A3,399900,40000
Sedán,Blanco,Gasolina,2022,Kia,Forte,348000,102000
Camioneta SUV,Plata,Gasolina,2018,Nissan,X-Trail,279000,74000
Hatchback (5 Puertas),Plata,Gasolina,2019,Chevrolet,Spark,179900,55000
Camioneta SUV,Rojo,Gasolina,2021,Ford,Bronco,448000,42306
Camioneta SUV,Café,Gasolina,2016,Kia,Sorento,289900,54000
Camioneta SUV,Naranja,Gasolina,2022,Mitsubishi,Xpander,299000,57103
Sedán,Blanco,Gasolina,2018,Chevrolet,Aveo,219900,56946
Camioneta SUV,Rojo,Gasolina,2023,Chirey,Tiggo 7 Pro,389000,15195
Camioneta SUV,Blanco,Gasolina,2023,Chevrolet,Tracker,339000,38867
Sedán,Blanco,Gasolina,2023,Chevrolet,Onix,272000,70297
Camioneta SUV,Gris,Gasolina,2015,GMC,Yukon,478500,70000
Convertible,Negro,Gasolina,2022,Ford,Mustang,989500,8600
Sedán,Blanco,Gasolina,2017,Nissan,Altima Advance,215900,103000
Sedán,Blanco,Gasolina,2021,Chevrolet,Beat,198500,38000
Sedán,Rojo,Gasolina,2020,Audi,A3,399900,29000
Camioneta SUV,Azul,Gasolina,2023,Omoda,Omoda C5,420000,24500
Sedán,Rojo,Gasolina,2018,Chevrolet,Aveo,219000,60000
Camioneta SUV,Café,Gasolina,2018,Jeep,Grand Cherokee,533000,75237
Pickup,Blanco,Gasolina,2020,Ford,F-150,599000,85300
Hatchback (3 Puertas),Blanco,Gasolina,2015,Fiat,500,174000,88000
Sedán,Negro,Gasolina,2018,Kia,OPTIMA,285000,108122
Camioneta SUV,Negro,Eléctrico,2023,BYD,Tang,954900,136
Mini van (MPV),Blanco,Diesel,2019,Volkswagen,Transporter,379900,58000
Camioneta SUV,Gris,Gasolina,2014,Audi,Q7,280000,95717
Sedán,Blanco,Gasolina,2015,Chevrolet,Sonic,135900,86000
Mini van (MPV),Blanco,Gasolina,2019,Volkswagen,Transporter,379900,82000
Camioneta SUV,Gris,Gasolina,2018,Kia,Sportage,328000,63000
Van,Blanco,Diesel,2019,Volkswagen,Transporter,379900,66000
Camioneta SUV,Blanco,Gasolina,2020,Toyota,Highlander,500000,72000
Sedán,Plata,Gasolina,2018,Renault,Logan,197500,68000
Camioneta SUV,Negro,Gasolina,2023,Omoda,Omoda 5,349000,21500
Hatchback (3 Puertas),Gris,Gasolina,2019,Mini,John Cooper Works,449000,54000
Sedán,Blanco,Gasolina,2014,Volkswagen,Jetta Clásico,149000,87000
Todoterreno Ligero,Blanco,Gasolina,2018,Mercedes Benz,Clase GLC,480000,92000
Sedán,Blanco,Gasolina,2014,Chevrolet,Sonic,129800,60000
Convertible,Beige,Gasolina,2019,Mini,John Cooper Works,519900,35700
Pickup,Blanco,Gasolina,2022,Ford,Ranger,489900,22500
Camioneta SUV,Blanco,Gasolina,2021,MG,MG ZS,228000,79764
Camioneta Chasis,Café,Gasolina,2016,Kia,Sorento,259900,147116
Camioneta SUV,Blanco,Gasolina,2018,BMW,X4,569000,74283
Camioneta SUV,Blanco,Gasolina,2019,Ford,Expedition,790000,96457
Sedán,Rojo,Gasolina,2022,Kia,Forte,409000,20400
Camioneta SUV,Blanco,Gasolina,2019,Kia,Sorento,349000,83000
Todoterreno Ligero,Gris,Gasolina,2022,Suzuki,Jimny,419900,32000
Sedán,Gris,Gasolina,2020,Hyundai,Grand i10,215000,59000
Camioneta SUV,Blanco,Gasolina,2015,Jeep,Wrangler Sahara Unlimited,438000,117995
Camioneta SUV,Gris,Gasolina,2020,BMW,X2,454900,73000
Camioneta SUV,Blanco,Gasolina,2014,Jeep,Grand Cherokee,270000,98000
Sedán,Negro,Gasolina,2020,Kia,Forte,260000,30378
Camioneta SUV,Gris,Gasolina,2020,BMW,X2,454900,73000
Camioneta SUV,Plata,Gasolina,2017,Ford,Expedition,460000,128475
Sedán,Blanco,Gasolina,2018,Chevrolet,Cavalier,224000,64500
Sedán,Blanco,Gasolina,2017,Chevrolet,Tahoe,584999,87000
Camioneta SUV,Negro,Gasolina,2022,Kia,Seltos,365000,44749
Camioneta SUV,Rojo,Gasolina,2022,Hyundai,Creta,344000,35000
Camioneta SUV,Negro,Gasolina,2015,Mazda,CX-5,265000,70294
Camioneta SUV,Blanco,Gasolina,2022,Audi,Q3,714900,17000
Camioneta SUV,Gris,Gasolina,2021,Audi,Q2,448000,122000
Camioneta SUV,Plata,Gasolina,2016,Jeep,Wrangler,499000,75000
Sedán,Azul,Diesel,2024,Ford,Ranger,893000,0
Sedán,Rojo,Gasolina,2021,Nissan,Sentra,300000,60575
Hatchback (5 Puertas),Plata,Gasolina,2023,Nissan,March,289000,23747
Camioneta SUV,Blanco,Gasolina,2019,Volkswagen,TIGUAN R-LINE,455000,70500
Camioneta SUV,Plata,Gasolina,2019,Chevrolet,Trax,235000,94544
Sedán,Blanco,Gasolina,2022,Nissan,Sentra,319000,72571
Sedán,Gris,Gasolina,2023,Toyota,Camry,480000,15000
Camioneta SUV,Azul,Gasolina,2024,BMW,X7,2295800,3486
Sedán,Blanco,Gasolina,2022,Chevrolet,Onix,249000,85600
Sedán,Negro,Gasolina,2019,Dodge,Charger,399500,22450
Camioneta SUV,Gris,Gasolina,2019,Chevrolet,Suburban,765000,73000
Camioneta SUV,Gris,Gasolina,2018,Jeep,Grand Cherokee,498900,100409
Camioneta SUV,Blanco,Gasolina,2019,Mercedes Benz,GLE 450,839000,59180
Camioneta SUV,Blanco,Gasolina,2021,Mazda,CX-30,409990,64221
Coupé,Blanco,Gasolina,2014,Mini,Paceman S,269500,74000
Sedán,Gris,Gasolina,2019,Mercedes Benz,Clase E,598000,36000
Pickup,Blanco,Gasolina,2022,Volkswagen,Saveiro,244900,44000
Pickup,Blanco,Gasolina,2022,Volkswagen,Saveiro,244900,44418
Camioneta SUV,Blanco,Gasolina,2017,Infiniti,QX60,499600,70000
Crossover,Blanco,Gasolina,2018,Mazda,CX-3,279900,69000
Pickup,Blanco,Gasolina,2022,Volkswagen,Saveiro,244900,44400
Sedán,Blanco,Gasolina,2022,Nissan,Sentra,308900,62100
Camioneta SUV,Arena,Gasolina,2022,GMC,Yukon,1519900,25271
Sedán,Negro,Gasolina,2021,Chevrolet,Aveo,215000,38000
Camioneta SUV,Blanco,Gasolina,2023,Mazda,CX-5,509000,13000
Sedán,Azul,Gasolina,2017,Ford,Fusion,299000,85948
Pickup,Blanco,Diesel,2024,Toyota,Hilux,530000,77947
Sedán,Negro,Gasolina,2019,Volkswagen,Jetta,240000,78000
Hatchback (3 Puertas),Gris,Gasolina,2018,Audi,A1,279000,85000
Sedán,Blanco,Gasolina,2021,Volkswagen,Vento,258000,53018
Sedán,Plata,Gasolina,2021,Infiniti,Q50,573800,72054
Sedán,Negro,Gasolina,2017,Volkswagen,Passat,287500,61000
Camioneta SUV,Azul,Gasolina,2022,Audi,Q3,717999,20100
Pickup,Blanco,Gasolina,2020,Chevrolet,Silverado,490000,35268
Camioneta SUV,Blanco,Gasolina,2016,Chevrolet,Trax,228000,69570
Hatchback (5 Puertas),Plata,Gasolina,2020,Mini,Cooper Clubman,395000,58000
Sedán,Blanco,Gasolina,2022,Chevrolet,Onix,229000,74000
Todoterreno Ligero,Blanco,Gasolina,2019,Mercedes Benz,Clase GLS,729900,49656
Pickup,Plata,Gasolina,2023,Chevrolet,S-10,459000,48000
Camioneta SUV,Negro,Gasolina,2024,MG,RX5,479900,9539
Coupé,Blanco,Gasolina,2018,Mercedes Benz,Clase GLC,598999,96000
Camioneta SUV,Plata,Gasolina,2022,Audi,Q5,869900,44176
Sedán,Gris,Gasolina,2021,Chevrolet,Beat,179000,1
Camioneta SUV,Gris,Gasolina,2022,Mazda,CX-5,487999,53000
Hatchback (5 Puertas),Plata,Gasolina,2021,Suzuki,Swift,269800,39204
Sedán,Azul,Gasolina,2017,Volkswagen,Jetta,239500,75000
Camioneta SUV,Blanco,Gasolina,2017,Jeep,Grand Cherokee Limited,465000,84000
Sedán,Blanco,Gasolina,2023,Chevrolet,Cavalier,298900,22386
Sedán,Gris,Gasolina,2017,Nissan,Sentra,208500,71000
Hatchback (5 Puertas),Gris,Gasolina,2024,Chevrolet,Aveo,275000,11355
Sedán,Blanco,Gasolina,2020,Dodge,Attitude,189900,35000
Camioneta SUV,Blanco,Gasolina,2023,Kia,Seltos,445000,45000
Sedán,Blanco,Gasolina,2016,Nissan,Versa Advance,150000,109000
Camioneta SUV,Blanco,Gasolina,2017,Hyundai,Santa Fe,330000,74372
Utilitario,Blanco,Diesel,2020,Ford,Transit,459000,70000
Hatchback (5 Puertas),Negro,Gasolina,2020,Kia,Rio,249000,140100
Camioneta SUV,Blanco,Gasolina,2019,Chevrolet,Trax,309900,65226
Sedán,Plata,Gasolina,2025,MG,MG 3,305000,10030
Pickup,Blanco,Gasolina,2020,Chevrolet,Silverado,459900,127066
Camioneta SUV,Vino,Gasolina,2018,Toyota,RAV4,338000,169500
Pickup,Gris,Gasolina,2024,Nissan,Frontier,488000,30661
Sedán,Blanco,Gasolina,2016,Volkswagen,Gol,139500,92000
Todoterreno Ligero,Amarillo,Gasolina,2022,Suzuki,Jimny,399000,19000
Camioneta SUV,Azul,Gasolina,2023,Kia,Soul,320000,46567
Camioneta SUV,Negro,Gasolina,2022,Hyundai,Tucson,469000,36151
Van,Blanco,Gasolina,2020,Nissan,Urvan,569000,61483
Coupé,Rojo,Gasolina,2018,Honda,Civic,359000,40998
Hatchback (5 Puertas),Plata,Gasolina,2023,Nissan,March,229800,21000
Camioneta SUV,Blanco,Eléctrico,2018,BMW,X5,579000,37998
Camioneta SUV,Blanco,Gasolina,2017,Ford,Edge,359000,90000
Camioneta SUV,Blanco,Gasolina,2021,Chevrolet,Suburban,1750000,10270
Pickup,Blanco,Gasolina,2020,Toyota,Tacoma,618000,111614
Camioneta SUV,Rojo,Gasolina,2023,Hyundai,Tucson,520000,34574
Sedán,Blanco,Gasolina,2016,Audi,A6,358400,52600
Sedán,Azul,Gasolina,2022,Honda,CR-V,515000,41449
Pickup,Blanco,Gasolina,2020,Volkswagen,Caddy,380000,78951
Mini van (MPV),Gris,Gasolina,2015,Toyota,Sienna,375000,79000
Camioneta SUV,Azul,Gasolina,2023,Nissan,Kicks,400000,26171
Sedán,Blanco,Gasolina,2017,Chevrolet,Sonic,169900,62000
Hatchback (5 Puertas),Blanco,Gasolina,2017,Toyota,Yaris,209800,67000
Pickup,Plata,Gasolina,2021,Toyota,Hilux,470000,12635
Todoterreno Ligero,Blanco,Gasolina,2019,Mercedes Benz,Clase GLC,499000,110000
Camioneta SUV,Blanco,Gasolina,2016,Ford,Edge,309000,78000
Camioneta SUV,Cobrizo,Gasolina,2021,Honda,BR-V,343000,40963
Hatchback (5 Puertas),Plata,Gasolina,2022,Nissan,March,235000,51167
Camioneta SUV,Plata,Gasolina,2021,Honda,BR-V,335000,38766
Hatchback (5 Puertas),Blanco,Gasolina,2022,Nissan,March,225000,29332
Sedán,Rojo,Gasolina,2024,Mazda,3,409000,6682
Camioneta SUV,Blanco,Gasolina,2020,Nissan,X-Trail,358500,56000
Camioneta SUV,Blanco,Gasolina,2014,Audi,Q5,245000,1800
Sedán,Rojo,Gasolina,2021,Honda,City,299900,37000
Hatchback (3 Puertas),Blanco,Gasolina,2018,Volkswagen,Beetle,319500,52000
Hatchback (5 Puertas),Blanco,Gasolina,2015,Volkswagen,Gol,150000,70000
Camioneta SUV,Blanco,Gasolina,2023,Chirey,Tiggo 7 Pro,345000,51800
Convertible,Gris,Gasolina,2019,BMW,Serie 4,499000,113036
Camioneta SUV,Plata,Gasolina,2024,Chevrolet,Groove,370000,3000
Camioneta SUV,Negro,Gasolina,2020,Chevrolet,Trax,299500,60176
Sedán,Negro,Gasolina,2023,MG,GT,319900,27420
Pickup,Blanco,Gasolina,2021,Nissan,Frontier,388000,37681
Camioneta SUV,Mora,Gasolina,2016,Honda,HR-V,259000,55000
Camioneta SUV,Blanco,Gasolina,2023,Chevrolet,Captiva,380000,26094
Camioneta SUV,Blanco,Gasolina,2019,Mercedes Benz,GLC 300,499000,89000
Camioneta SUV,Blanco,Gasolina,2019,Volkswagen,TERAMONT,480000,98000
Sedán,Blanco,Gasolina,2019,Mazda,3 S Grand Touring,318000,84000
Sedán,Negro,Gasolina,2021,Chevrolet,Onix,235000,71000
Hatchback (5 Puertas),Rojo,Eléctrico,2017,Toyota,Prius,267000,128156
Coupé,Blanco,Gasolina,2020,BMW,Serie 4,400000,86616
Sedán,Negro,Gasolina,2018,Audi,A3,369900,49000
Camioneta SUV,Rojo,Gasolina,2018,Ford,Escape,303900,40000
Camioneta SUV,Verde,Gasolina,2023,Hyundai,Tucson,525000,38970
Sedán,Blanco,Gasolina,2023,Hyundai,HB20 GL MID,309000,14537
Camioneta SUV,Negro,Gasolina,2022,Chevrolet,Tracker,319000,27000
Todoterreno Ligero,Gris,Gasolina,2021,Jeep,Gladiator,994900,18187
Camioneta SUV,Negro,Gasolina,2019,Ford,Edge,399900,81000
Sedán,Blanco,Gasolina,2018,Audi,A3,379000,96800
Pickup,Blanco,Gasolina,2014,Ford,F-150,289500,69000
Pickup,Gris,Gasolina,2018,Toyota,Tacoma,606000,98679
Coupé,Gris,Gasolina,2018,Volkswagen,Beetle,328000,54000
Camioneta SUV,Plata,Gasolina,2023,Peugeot,2008,365000,46000
Camioneta SUV,Blanco,Gasolina,2017,Audi,Q5,360000,40000
Pickup,Blanco,Gasolina,2021,Mitsubishi,L200,378500,56000
Camioneta SUV,Azul,Gasolina,2017,Audi,Q3,545000,81000
Camioneta SUV,Gris,Gasolina,2017,GMC,Acadia,367999,89000
Todoterreno Ligero,Rojo,Gasolina,2018,Baic,BJ-40,319000,31617
Camioneta SUV,Blanco,Gasolina,2013,Land Rover,Evoque,389000,83000
Camioneta SUV,Blanco,Gasolina,2024,Toyota,Highlander,925100,36893
Camioneta SUV,Rojo,Híbrido,2020,Ford,Escape,420000,59835
Camioneta SUV,Blanco,Gasolina,2018,Ford,Ecosport,230000,55305
Sedán,Blanco,Gasolina,2015,Volkswagen,Jetta Clásico,169000,84000
Sedán,Gris,Gasolina,2017,Toyota,Yaris,200000,90430
Camioneta SUV,Blanco,Gasolina,2016,Honda,CR-V,269000,100000
Camioneta SUV,Plata,Gasolina,2022,Volkswagen,Tiguan,589000,36356
Camioneta SUV,Gris,Gasolina,2020,Audi,Q5,599000,65000
Sedán,Blanco,Gasolina,2018,Nissan,Altima,257500,58000
Van,Blanco,Gasolina,2023,Ford,Transit,289000,15000
Camioneta SUV,Gris,Gasolina,2018,Dodge,Journey,298000,46000
Hatchback (3 Puertas),Gris,Gasolina,2021,Volkswagen,Polo,245000,42000
Hatchback (5 Puertas),Negro,Gasolina,2022,Kia,Rio,250000,29900
Camioneta SUV,Rojo,Gasolina,2021,Mazda,CX-5,435000,51086
Camioneta SUV,Azul,Gasolina,2024,Omoda,Omoda O5,350000,24000
Pickup,Gris,Gasolina,2023,Toyota,Tacoma,782999,74000
Camioneta SUV,Gris,Gasolina,2017,BMW,X5,499000,86350
Sedán,Blanco,Gasolina,2020,Hyundai,Grand i10,199000,100000
Sedán,Plata,Gasolina,2023,Hyundai,HB20 GL MID,322000,14700
Camioneta SUV,Gris,Gasolina,2021,Kia,Seltos,339000,79340
Sedán,Plata,Gasolina,2021,Honda,City,299000,28000
Camioneta SUV,Plata,Gasolina,2021,Toyota,RAV4,589000,46500
Sedán,Blanco,Gasolina,2021,Nissan,Versa,250000,40000
Hatchback (5 Puertas),Azul,Gasolina,2020,Kia,Rio,259500,53000
Sedán,Gris,Gasolina,2021,Chevrolet,Aveo,190000,133220
Camioneta SUV,Rojo,Gasolina,2021,Porsche,Macan,1350000,41000
Sedán,Blanco,Gasolina,2017,BMW,Serie 3,298000,105000
Camioneta SUV,Blanco,Gasolina,2019,Honda,BR-V,299000,90000
Camioneta SUV,Blanco,Gasolina,2019,Nissan,X-Trail Sense,259500,73000
Camioneta SUV,Blanco,Gasolina,2024,Volkswagen,Taigun,399000,17923
Camioneta SUV,Gris,Gasolina,2017,Honda,HRV,269000,85060
Camioneta SUV,Gris,Gasolina,2022,Hyundai,Creta,379000,67475
Pickup,Negro,Gasolina,2016,Ford,Lobo,595000,82000
Utilitario,Blanco,Gasolina,2018,Nissan,NP 300,330000,80000
Mini van (MPV),Blanco,Gasolina,2017,Honda,Odyssey,379850,77000
Camioneta SUV,Rojo,Gasolina,2024,Chevrolet,Captiva,375000,9000
Sedán,Rojo,Gasolina,2020,Mazda,3 S Grand Touring,335000,71000
Mini van (MPV),Blanco,Gasolina,2020,Toyota,Sienna,520000,99600
Camioneta SUV,Gris,Gasolina,2022,Renault,Captur,297400,88706
Camioneta SUV,Blanco,Gasolina,2019,BMW,X3,479000,89070
Camioneta SUV,Negro,Gasolina,2019,BMW,X3,519000,60111
Camioneta SUV,Blanco,Gasolina,2023,Mazda,CX-30,455000,14000
Camioneta SUV,Gris,Gasolina,2022,Peugeot,2008,369000,89318
Todoterreno Ligero,Rojo,Híbrido,2020,Mercedes Benz,Clase GLS,349999,38421
Hatchback (5 Puertas),Azul,Gasolina,2015,Chevrolet,Spark,118000,88000
Hatchback (5 Puertas),Blanco,Gasolina,2019,Seat,Toledo,219500,56000
Sedán,Blanco,Gasolina,2023,Mitsubishi,Mirage,199900,63700
Utilitario,Blanco,Gasolina,2023,Ford,Maverick,599900,32000
Camioneta SUV,Blanco,Híbrido,2019,Infiniti,QX60,660000,87726
Sedán,Blanco,Gasolina,2011,Chevrolet,Aveo,119000,97000
Sedán,Plata,Gasolina,2023,Renault,Duster,339000,56532
Camioneta SUV,Azul,Gasolina,2019,Audi,Q8,899900,68950
Camioneta SUV,Gris,Gasolina,2019,Ford,Escape,299900,67224
Sedán,Azul,Gasolina,2018,Volkswagen,Gol,159900,64000
Coupé,Blanco,Gasolina,2017,Nissan,Altima,249500,65000
Sedán,Blanco,Gasolina,2017,Volkswagen,Gol,167500,86000
Crossover,Crema,Gasolina,2024,Suzuki,Ignis,256000,17000
Camioneta SUV,Azul,Eléctrico,2022,BMW,X3,849000,28400
Camioneta SUV,Blanco,Gasolina,2017,Nissan,Pathfinder,458000,78000
Camioneta SUV,Plata,Gasolina,2016,Honda,HRV,249000,67001
Sedán,Plata,Gasolina,2021,Kia,Rio,270000,56784
Utilitario,Blanco,Gasolina,2018,Volkswagen,Transporter,369500,65000
Mini van (MPV),Blanco,Gasolina,2022,Ford,Transit,255000,44000
Camioneta SUV,Plata,Gasolina,2021,Nissan,X-Trail,398000,51658
Camioneta SUV,Gris,Gasolina,2019,Land Rover,Velar R- Dynamic,760000,56000
Camioneta SUV,Plata,Gasolina,2019,Toyota,C-HR,339000,87659
Camioneta SUV,Gris,Gasolina,2019,Land Rover,Velar R- Dynamic,819900,59220
Camioneta SUV,Negro,Gasolina,2021,Honda,CR-V,474000,58100
Hatchback (5 Puertas),Verde,Gasolina,2024,Chevrolet,Aveo,279900,11100
Camioneta SUV,Blanco,Gasolina,2018,Ford,Expedition,750000,73058
Pickup,Blanco,Gasolina,2021,Chevrolet,Cheyenne,935000,40000
Todoterreno Ligero,Blanco,Gasolina,2023,Suzuki,Jimny,429000,12800
Sedán,Blanco,Gasolina,2023,Nissan,Altima,580000,292
Sedán,Blanco,Gasolina,2023,Chevrolet,Cavalier,320000,31261
Hatchback (5 Puertas),Negro,Gasolina,2019,Kia,Forte,289000,82145
Mini van (MPV),Gris,Híbrido,2021,Toyota,Sienna,650000,107547
Sedán,Blanco,Gasolina,2016,Chevrolet,Aveo,149800,86000
Sedán,Plata,Gasolina,2020,Volkswagen,Gol,198000,97083
Camioneta SUV,Plata,Gasolina,2020,Honda,BR-V,335000,102775
Camioneta SUV,Blanco,Gasolina,2021,Kia,Sportage,387999,75000
Camioneta SUV,Gris,Gasolina,2017,GMC,Acadia,399000,87000
Sedán,Rojo,Gasolina,2023,Nissan,Versa,309000,40133
Sedán,Negro,Gasolina,2025,Volkswagen,Jetta,449990,3053
Camioneta SUV,Gris,Gasolina,2020,Seat,Ateca,349000,49216
Camioneta SUV,Negro,Gasolina,2019,Mazda,CX-5,349000,89000
Sedán,Plata,Gasolina,2019,Nissan,Altima,285000,73000
Coupé,Blanco,Gasolina,2022,Ford,Maverick,505000,41000
Camioneta SUV,Gris,Gasolina,2024,Seat,Arona,414000,3149
Sedán,Café,Gasolina,2021,Chevrolet,Aveo,198000,69000
Camioneta SUV,Rojo,Gasolina,2018,Ford,Escape,339500,64000
Camioneta SUV,Plata,Gasolina,2017,Nissan,X-Trail,256900,87000
Camioneta SUV,Azul,Gasolina,2023,Ford,Territory,540000,44000
Sedán,Vino,Gasolina,2014,Chevrolet,Sonic,165000,88000
Camioneta SUV,Plata,Gasolina,2023,Chevrolet,Groove,298000,40000
Sedán,Blanco,Gasolina,2015,Chevrolet,Sonic,139999,82000
